gid,number,side
2011796,Ninth,Away (right)
2011796,Tenth,Away (right)
2011796,Eleventh,Away (right)
2011797,First,Home (left)
2011797,Second,Home (left)
2011797,Third,Home (left)
2011797,Fourth,Home (left)
2011797,Fifth,Home (left)
2011797,Sixth,Home (left)
2011797,Seventh,Home (left)
2011797,Eighth,Home (left)
2011797,Ninth,Home (left)
2011797,Tenth,Home (left)
2011797,Eleventh,Home (left)
2011797,First,Away (right)
2011797,Second,Away (right)
2011797,Third,Away (right)
2011797,Fourth,Away (right)
2011797,Fifth,Away (right)
2011797,Sixth,Away (right)
2011797,Seventh,Away (right)
2011797,Eighth,Away (right)
2011797,Ninth,Away (right)
2011797,Tenth,Away (right)
2011797,Eleventh,Away (right)
2011798,First,Home (left)
2011798,Second,Home (left)
2011798,Third,Home (left)
2011798,Fourth,Home (left)
2011798,Fifth,Home (left)
2011798,Sixth,Home (left)
2011798,Seventh,Home (left)
2011798,Eighth,Home (left)
2011798,Ninth,Home (left)
2011798,Tenth,Home (left)
2011798,Eleventh,Home (left)
2011798,First,Away (right)
2011798,Second,Away (right)
2011798,Third,Away (right)
2011798,Fourth,Away (right)
2011798,Fifth,Away (right)
2011798,Sixth,Away (right)
2011798,Seventh,Away (right)
2011798,Eighth,Away (right)
2011798,Ninth,Away (right)
2011798,Tenth,Away (right)
2011798,Eleventh,Away (right)
2011799,First,Home (left)
2011799,Second,Home (left)
2011799,Third,Home (left)
2011799,Fourth,Home (left)
2011799,Fifth,Home (left)
2011799,Sixth,Home (left)
2011799,Seventh,Home (left)
2011799,Eighth,Home (left)
2011799,Ninth,Home (left)
2011799,Tenth,Home (left)
2011799,Eleventh,Home (left)
2011799,First,Away (right)
2011799,Second,Away (right)
2011799,Third,Away (right)
2011799,Fourth,Away (right)
2011799,Fifth,Away (right)
2011799,Sixth,Away (right)
2011799,Seventh,Away (right)
2011799,Eighth,Away (right)
2011799,Ninth,Away (right)
2011799,Tenth,Away (right)
2011799,Eleventh,Away (right)
2011800,First,Home (left)
2011800,Second,Home (left)
2011800,Third,Home (left)
2011800,Fourth,Home (left)
2011800,Fifth,Home (left)
2011800,Sixth,Home (left)
2011800,Seventh,Home (left)
2011800,Eighth,Home (left)
2011800,Ninth,Home (left)
2011800,Tenth,Home (left)
2011800,Eleventh,Home (left)
2011800,First,Away (right)
2011800,Second,Away (right)
2011800,Third,Away (right)
2011800,Fourth,Away (right)
2011800,Fifth,Away (right)
2011800,Sixth,Away (right)
2011800,Seventh,Away (right)
2011800,Eighth,Away (right)
2011800,Ninth,Away (right)
2011800,Tenth,Away (right)
2011800,Eleventh,Away (right)
2011801,First,Home (left)
2011801,Second,Home (left)
2011801,Third,Home (left)
2011801,Fourth,Home (left)
2011801,Fifth,Home (left)
2011801,Sixth,Home (left)
2011801,Seventh,Home (left)
2011801,Eighth,Home (left)
2011801,Ninth,Home (left)
2011801,Tenth,Home (left)
2011801,Eleventh,Home (left)
2011801,First,Away (right)
2011801,Second,Away (right)
2011801,Third,Away (right)
2011801,Fourth,Away (right)
2011801,Fifth,Away (right)
2011801,Sixth,Away (right)
2011801,Seventh,Away (right)
2011801,Eighth,Away (right)
2011801,Ninth,Away (right)
2011801,Tenth,Away (right)
2011801,Eleventh,Away (right)
2011802,First,Home (left)
2011802,Second,Home (left)
2011802,Third,Home (left)
2011802,Fourth,Home (left)
2011802,Fifth,Home (left)
2011802,Sixth,Home (left)
2011802,Seventh,Home (left)
2011802,Eighth,Home (left)
2011802,Ninth,Home (left)
2011802,Tenth,Home (left)
2011802,Eleventh,Home (left)
2011802,First,Away (right)
2011802,Second,Away (right)
2011802,Third,Away (right)
2011802,Fourth,Away (right)
2011802,Fifth,Away (right)
2011802,Sixth,Away (right)
2011802,Seventh,Away (right)
2011802,Eighth,Away (right)
2011802,Ninth,Away (right)
2011802,Tenth,Away (right)
2011802,Eleventh,Away (right)
2011803,First,Home (left)
2011803,Second,Home (left)
2011803,Third,Home (left)
2011803,Fourth,Home (left)
2011803,Fifth,Home (left)
2011803,Sixth,Home (left)
2011803,Seventh,Home (left)
2011803,Eighth,Home (left)
2011803,Ninth,Home (left)
2011803,Tenth,Home (left)
2011803,Eleventh,Home (left)
2011803,First,Away (right)
2011803,Second,Away (right)
2011803,Third,Away (right)
2011803,Fourth,Away (right)
2011803,Fifth,Away (right)
2011803,Sixth,Away (right)
2011803,Seventh,Away (right)
2011803,Eighth,Away (right)
2011803,Ninth,Away (right)
2011803,Tenth,Away (right)
2011803,Eleventh,Away (right)
2011804,First,Home (left)
2011804,Second,Home (left)
2011804,Third,Home (left)
